Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pdf,Chrome 68.0.3440.106,,2018-09-08 08:41:01,2018-09-08 08:41:38,"36,932s",PASSED
,,,,,,
Test Cases/ReadPdf/pdfReader,Chrome 68.0.3440.106,,2018-09-08 08:41:05,2018-09-08 08:41:38,"33,340s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-08 08:41:05,2018-09-08 08:41:05,"0,386s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-08 08:41:07,2018-09-08 08:41:15,"8,697s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-08 08:41:15,2018-09-08 08:41:27,"11,954s",PASSED
click,Chrome 68.0.3440.106,,2018-09-08 08:41:27,2018-09-08 08:41:31,"3,582s",PASSED
"Statement - pdfContent = CustomKeywords.readPdfFile.verifyPdfContent.readPdfFileVerify(""http://www.axmag.com/download/pdfurl-guide.pdf"")",Chrome 68.0.3440.106,,2018-09-08 08:41:31,2018-09-08 08:41:36,"4,927s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Open the setting.xml, you can see it is like this:""))",Chrome 68.0.3440.106,,2018-09-08 08:41:36,2018-09-08 08:41:36,"0,175s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""Please add the following sentence in setting.xml before""))",Chrome 68.0.3440.106,,2018-09-08 08:41:36,2018-09-08 08:41:36,"0,155s",PASSED
"Statement - org.testng.Assert.assertTrue(pdfContent.contains(""You can see that I have modified the setting.xml, and if open the file in IE, it is like this:""))",Chrome 68.0.3440.106,,2018-09-08 08:41:36,2018-09-08 08:41:36,"0,099s",PASSED
"Statement - println(""PDF IS GOOD TO GO...
"")",Chrome 68.0.3440.106,,2018-09-08 08:41:36,2018-09-08 08:41:37,"0,198s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-08 08:41:37,2018-09-08 08:41:38,"1,307s",PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-08 08:41:38,2018-09-08 08:41:38,"0,016s",PASSED
